,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
185,186,186,아가미 :구병모 장편소설 ,지은이: 구병모,자음과모음,2011,9788957075425,03810,,813.7,문학 > 한국문학 > 소설,479,http://image.aladin.co.kr/product/1103/66/cover/8957075429_1.jpg,https://data4library.kr/bookV?seq=1156213
186,187,187,나는 오래된 거리처럼 너를 사랑하고 :진은영 시집 ,지은이: 진은영,문학과지성사,2022,9788932040448,03810,,811.7,문학 > 한국문학 > 시,478,https://image.aladin.co.kr/product/30036/43/cover/8932040443_1.jpg,https://data4library.kr/bookV?seq=6551114
187,188,187,위저드 베이커리 =구병모 장편소설 /Wizard bakery ,지은이: 구병모,창비,2009,9788936433697,03810,,813.7,문학 > 한국문학 > 소설,478,http://image.aladin.co.kr/product/346/0/cover/8936433695_1.jpg,https://data4library.kr/bookV?seq=2314042
188,189,187,더 해빙 =부와 행운을 끌어당기는 힘 /The having ,"이서윤,홍주연 지음",수오서재,2020,9791190382175,03320,,325.2113,사회과학 > 경제학 > 경영관리,478,https://image.aladin.co.kr/product/23400/44/cover/k022637311_2.jpg,https://data4library.kr/bookV?seq=5607391
189,190,190,나주에 대하여 :김화진 소설 ,지은이: 김화진,문학동네,2022,9788954688994,03810,,813.7,문학 > 한국문학 > 소설,474,https://image.aladin.co.kr/product/30347/9/cover/8954688993_1.jpg,https://data4library.kr/bookV?seq=6577033
190,191,190,돈의 심리학 :당신은 왜 부자가 되지 못했는가 ,모건 하우절 지음 ;이지연 옮김,인플루엔셜,2021,9791191056372,03320,,327.04,사회과학 > 경제학 > 금융,474,https://image.aladin.co.kr/product/25967/85/cover/k412737326_1.jpg,https://data4library.kr/bookV?seq=5846583
191,192,192,게으른 완벽주의자를 위한 심리학 :미루기의 악순환에서 벗어나고 싶은 당신을 위한 심리 처방 ,헤이든 핀치 지음 ;이은정 옮김,시크릿하우스,2022,9791192312200,03180,,181.9,철학 > 심리학 > 각론,471,https://image.aladin.co.kr/product/29941/0/cover/k022838632_1.jpg,https://data4library.kr/bookV?seq=6541765
192,193,193,에고라는 적 :인생의 전환점에서 버려야 할 한 가지 ,라이언 홀리데이 지음 ;이경식 옮김,흐름출판,2017,9788965962090,03190,,189.1,철학 > 심리학 > 응용심리학 일반,466,http://image.aladin.co.kr/product/10603/67/cover/8965962099_1.jpg,https://data4library.kr/bookV?seq=3424500
193,194,193,미움받을 용기 :사랑과 진정한 자립에 대한 아들러의 가르침,"기시미 이치로,전경아 옮김",인플루엔셜,2016,9791186560129,03180,2,189.2,철학 > 심리학 > 응용심리학 일반,466,http://image.aladin.co.kr/product/8123/68/cover/k782434140_2.jpg,https://data4library.kr/bookV?seq=3139929
194,195,195,덧니가 보고 싶어 :정세랑 장편소설 ,지은이: 정세랑,난다,2019,9791188862375,03810,,813.7,문학 > 한국문학 > 소설,461,https://image.aladin.co.kr/product/21433/88/cover/k302636099_1.jpg,https://data4library.kr/bookV?seq=5515958
195,196,196,아주 오랜만에 행복하다는 느낌 :백수린 에세이 ,지은이: 백수린,창비,2022,9788936438869,03810,,814.7,문학 > 한국문학 > 수필,460,https://image.aladin.co.kr/product/30276/23/cover/8936438867_1.jpg,https://data4library.kr/bookV?seq=6571872
196,197,196,"나는 무조건 합격하는 공부만 한다 :26살, 9개월 만에 사법시험을 패스한 이윤규 변호사의 패턴 공부법 ",이윤규 지음,비즈니스북스,2019,9791162541210,03190,,373.4,"사회과학 > 교육학 > 학습지도, 교육방법",460,https://image.aladin.co.kr/product/22064/21/cover/k162636917_1.jpg,https://data4library.kr/bookV?seq=5543657
197,198,198,"총, 균, 쇠 ",재레드 다이아몬드 지음 ;김진준 옮김,문학사상,2013,9788970128856,03900,,389,"사회과학 > 풍속, 민속학 > 민족학",458,https://bookthumb-phinf.pstatic.net/cover/071/526/07152669.jpg?type=m1&udate=20171111,https://data4library.kr/bookV?seq=1926757
198,199,199,아홉수 가위 ,지은이: 범유진,안전가옥,2021,9791191193237,03810,,813.7,문학 > 한국문학 > 소설,456,https://image.aladin.co.kr/product/28163/59/cover/k112835963_1.jpg,https://data4library.kr/bookV?seq=6322770
199,200,200,"지리의 힘 :지리는 어떻게 개인의 운명을, 세계사를, 세계 경제를 좌우하는가 ",지은이: 팀 마샬 ;옮긴이: 김미선,사이,2016,9788993178692,03300,,340.98,사회과학 > 정치학 > 정치학,454,http://image.aladin.co.kr/product/8864/8/cover/8993178690_1.jpg,https://data4library.kr/bookV?seq=3265201
